city,latitude,longitude,"visitor number(before pandemic, 2019)",plot1,plot1_txt,plot2,plot2_txt,plot3,plot3_txt,plot4,plot4_txt,,,
Boston,42.3601,-71.0589,22.5 million,Fenway Park,Visit the famous ballpark for a tour or a game.,Freedom Trail,Explore the history of the American Revolution on this walking trail.,New England Aquarium,See marine life and exhibits at the aquarium on the waterfront.,Museum of Fine Arts,Explore the museum's collection of art from around the world.,,,
Las Vegas,36.1699,-115.1398,42.5 million,The Strip,"Explore the famous street with its hotels, casinos, and entertainment options.",Fremont Street Experience,See the light shows and street performers at this pedestrian mall and entertainment district.,Bellagio Fountains,Watch the water show set to music at this iconic Las Vegas attraction.,High Roller,Take a ride on the world's tallest observation wheel for panoramic views of the city.,,,
Portland,45.5051,-122.675,10.5 million,Columbia River Gorge Tour,See the stunning waterfalls and scenery of the nearby gorge.,Portland Food Carts Tour,Sample the diverse food options from the city's famous food carts.,Powell's City of Books,"Browse the city's famous bookstore, one of the largest in the world.",Oregon Museum of Science and Industry,Explore hands-on exhibits and science demos.,,,
Detroit,42.3314,-83.0458,19.2 million,Detroit Institute of Arts,"Explore the museum's collection of art from around the world, with a focus on American and European art.",Motown Museum,Learn about the history and artists of Motown music at this museum and interactive attraction.,Belle Isle Park,Enjoy the outdoor space and recreational activities at this park located on an island in the Detroit River.,The Henry Ford,Visit the museum and indoor-outdoor attraction dedicated to American innovation and ingenuity.,,,
Louisville,38.2527,-85.7585,16.4 million,Kentucky Derby Museum,Learn about the history and traditions of the famous horse race at this museum and interactive attraction.,Louisville Slugger Museum and Factory,Learn about the history and production of baseball bats at this museum and factory tour.,Louisville Mega Cavern,"Enjoy underground ziplining, ropes courses, and bike tours at this attraction located in a former limestone mine.",Churchill Downs,See a horse race or take a tour of the historic racetrack and home of the Kentucky Derby.,,,
Memphis,35.1495,-90.049,12.7 million,Graceland,Visit the former home of Elvis Presley and learn about his life and music at this museum and interactive attraction.,National Civil Rights Museum,Learn about the history and struggles of the civil rights movement at this museum located at the site of the assassination of Martin Luther King Jr.,Beale Street,"Experience the vibrant and historic district with its live music, restaurants, and entertainment options.",Memphis Zoo,"See animals from around the world at this popular attraction, which includes exhibits featuring giant pandas and African elephants.",,,
Baltimore,39.2904,-76.6122,26 million,Inner Harbor,"Explore the waterfront district with its shopping, dining, and entertainment options.",National Aquarium,See marine life from around the world at this popular attraction.,Fort McHenry National Monument and Historic Shrine,Learn about the history of the War of 1812 and the inspiration for the national anthem at this historic fort.,Baltimore Museum of Art,"Explore the museum's collection of art from around the world, with a focus on contemporary and modern art.",,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
